"EG14_001_unique_1d_times [C:\TUFLOW\working\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_001.tcf]","Time (h)","SQ FC01.1_R [EG14_001_unique_1d_times]","SQ FC01.2_R [EG14_001_unique_1d_times]","SQ FC02.04 [EG14_001_unique_1d_times]","SQ FC_weir1 [EG14_001_unique_1d_times]","SQ ds_weir [EG14_001_unique_1d_times]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0779,      0.0000,      0.0000,      0.0000,      0.0000
      13,          0.200000,      1.1123,      0.0000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      1.8474,      0.0000,      0.0000,      0.0000,      0.0000
      15,          0.233333,      2.4463,      0.0000,      0.0000,      0.8627,      0.0000
      16,          0.250000,      2.9443,      0.0000,      0.0000,      2.4687,      0.0000
      17,          0.266667,      3.3638,      0.0000,      0.0000,      3.1234,      0.0000
      18,          0.283333,      3.7343,      0.0000,      0.0000,      3.5459,      0.0000
      19,          0.300000,      4.1020,      0.0000,      0.0000,      3.9195,      0.0000
      20,          0.316667,      4.5035,      0.0000,      0.0000,      4.3089,      0.0000
      21,          0.333333,      4.9537,      0.0000,      0.0000,      4.7405,      0.0000
      22,          0.350000,      5.4459,      0.0000,      0.0000,      5.2170,      0.0000
      23,          0.366667,      5.9980,      0.0000,      0.0000,      5.7417,      0.0000
      24,          0.383333,      6.6688,      0.0000,      0.0000,      6.3623,      0.0000
      25,          0.400000,      7.4790,      0.0000,      0.0000,      7.1190,      0.0000
      26,          0.416667,      8.3982,      0.0000,      0.0000,      8.0017,      0.0000
      27,          0.433333,      9.3849,      0.0000,      0.0000,      8.9709,      0.0000
      28,          0.450000,     10.4528,      0.0000,      0.0000,     10.0043,      0.0000
      29,          0.466667,     11.7955,      0.1934,      0.0000,     11.2379,      0.0000
      30,          0.483333,     13.4314,      2.0127,      0.0000,     12.7825,      0.0000
      31,          0.500000,     15.2679,      3.7229,      0.0000,     14.5642,      0.0000
      32,          0.516667,     17.2808,      4.9096,      0.0000,     16.5130,      0.0000
      33,          0.533333,     20.1237,      5.9857,      0.0000,     19.0067,      0.0000
      34,          0.550000,     24.4956,      7.0755,      0.0000,     22.8522,      0.0000
      35,          0.566667,     29.6023,      8.1937,      0.0000,     27.5937,      0.0000
      36,          0.583333,     34.5374,      9.4327,      0.0000,     32.1607,      0.0000
      37,          0.600000,     38.0835,     11.1318,      0.0000,     36.3502,      0.0000
      38,          0.616667,     40.6609,     12.9634,      0.0000,     39.3177,      0.0000
