"EG15_001 [C:\TUFLOW\working\EG15_001_branched_system\TUFLOW\runs\EG15_001.tcf]","ID (Lowest)","Q Below","Q Above","Q Total","A Below","A Above","A Total","V Below","V Above","V Combined","h U/S","h D/S","dh","Time"
       1,"Pipe7",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       2,"Pipe6",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       3,"Pipe2",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       4,"Pipe17",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       5,"Pipe16",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       6,"Pipe15",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       7,"Pipe14",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       8,"Pipe13",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       9,"Pipe12",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
      10,"Pipe11",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
      11,"Pipe10",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
      12,"Pipe9",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
      13,"Pipe8",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
      14,"FC04.1_C",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
      15,"FC01.2_R",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
      16,"FC01.1_R",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
